PathOrder,PathKey,PathArchetype,PathCodename,PathDisplayName,PathTotalStages,Stage,StageCode,DirectiveTitle,ObjectiveSummary,TrackingMetric,TargetValue,UnlockRule,ProgressDisplay,RewardModel,DesignNotes
1,INTEL,첩보,신호 지도 제작자,첩보 경로 - 신호 지도 제작자,10,1,INTEL-01,청취 초소를 깨워라,경량 조선소 L1을 건설하고 첫 첩보선을 취역시키세요.,보유 건물 레벨 + 보유 유닛 수,LightShipyard>=1; Intelligence ships>=1,게임 시작 시 이용 가능,신호 지도 제작자 1/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
1,INTEL,첩보,신호 지도 제작자,첩보 경로 - 신호 지도 제작자,10,2,INTEL-02,첫 유령 신호,첫 첩보 임무를 발진시키세요.,발진한 첩보 임무,>=1,같은 경로의 이전 단계 완료,신호 지도 제작자 2/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
1,INTEL,첩보,신호 지도 제작자,첩보 경로 - 신호 지도 제작자,10,3,INTEL-03,성좌 소탕,적 목표를 상대로 첩보 임무 3회를 완료하세요.,해결된 첩보 임무,>=3 total,같은 경로의 이전 단계 완료,신호 지도 제작자 3/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
1,INTEL,첩보,신호 지도 제작자,첩보 경로 - 신호 지도 제작자,10,4,INTEL-04,패턴 사냥꾼,최소 두 개의 다른 세력을 상대로 정보 작전을 수행하세요.,첩보 작전 대상이 된 서로 다른 세력,>=2,같은 경로의 이전 단계 완료,신호 지도 제작자 4/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
1,INTEL,첩보,신호 지도 제작자,첩보 경로 - 신호 지도 제작자,10,5,INTEL-05,위협 지도책,서로 다른 적 기지 5곳의 최신 정보를 수집하세요.,최신 정보가 있는 고유 적 기지,>=5 in recent window,같은 경로의 이전 단계 완료,신호 지도 제작자 5/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
1,INTEL,첩보,신호 지도 제작자,첩보 경로 - 신호 지도 제작자,10,6,INTEL-06,침묵 파괴자,성공한 첩보 결과를 8회 누적하세요.,성공한 첩보 결과,>=8 lifetime,같은 경로의 이전 단계 완료,신호 지도 제작자 6/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
1,INTEL,첩보,신호 지도 제작자,첩보 경로 - 신호 지도 제작자,10,7,INTEL-07,외곽을 가로지르는 눈,짧은 작전 창 안에 첩보 작전을 3회 이상 발진시키세요.,시간 창 내 첩보 발진,>=3 within 2h,같은 경로의 이전 단계 완료,신호 지도 제작자 7/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
1,INTEL,첩보,신호 지도 제작자,첩보 경로 - 신호 지도 제작자,10,8,INTEL-08,거인의 사냥꾼,전력 상위 10위 제국 중 3곳을 대상으로 작전을 수행하세요.,첩보 대상이 된 상위 10위 제국,>=3 empires,같은 경로의 이전 단계 완료,신호 지도 제작자 8/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
1,INTEL,첩보,신호 지도 제작자,첩보 경로 - 신호 지도 제작자,10,9,INTEL-09,검은 하늘 지도화,정보 활동으로 적 거점 12곳을 지도화하세요.,정찰한 고유 적 기지,>=12 lifetime,같은 경로의 이전 단계 완료,신호 지도 제작자 9/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
1,INTEL,첩보,신호 지도 제작자,첩보 경로 - 신호 지도 제작자,10,10,INTEL-10,전지 프로토콜,고가치 적 기지 10곳의 최신 정보를 유지하세요.,최신 정보가 있는 고가치 기지,>=10 in recent window,같은 경로의 이전 단계 완료,신호 지도 제작자 10/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
2,RAIDER,습격자,공허 약탈자,습격자 경로 - 공허 약탈자,10,1,RAIDER-01,발톱을 갈아라,초기 습격 편대를 구성하세요.,보유 경전투 함선,>=10,게임 시작 시 이용 가능,공허 약탈자 1/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
2,RAIDER,습격자,공허 약탈자,습격자 경로 - 공허 약탈자,10,2,RAIDER-02,어둠 속 첫 피,첫 습격 임무를 발진시키세요.,발진한 습격 임무,>=1,같은 경로의 이전 단계 완료,공허 약탈자 2/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
2,RAIDER,습격자,공허 약탈자,습격자 경로 - 공허 약탈자,10,3,RAIDER-03,불태우고 이탈,습격 교전에서 3회 승리하세요.,습격 승리,>=3,같은 경로의 이전 단계 완료,공허 약탈자 3/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
2,RAIDER,습격자,공허 약탈자,습격자 경로 - 공허 약탈자,10,4,RAIDER-04,약탈 회로,습격으로 자원을 훔치세요.,습격으로 훔친 자원,">=2,500",같은 경로의 이전 단계 완료,공허 약탈자 4/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
2,RAIDER,습격자,공허 약탈자,습격자 경로 - 공허 약탈자,10,5,RAIDER-05,쌍둥이 발톱,여러 활성 습격로를 운용하세요.,활성 습격로,>=2,같은 경로의 이전 단계 완료,공허 약탈자 5/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
2,RAIDER,습격자,공허 약탈자,습격자 경로 - 공허 약탈자,10,6,RAIDER-06,세력 교차 포식,여러 세력을 상대로 성공적인 습격을 기록하세요.,성공적으로 습격한 서로 다른 세력,>=3,같은 경로의 이전 단계 완료,공허 약탈자 6/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
2,RAIDER,습격자,공허 약탈자,습격자 경로 - 공허 약탈자,10,7,RAIDER-07,끈질긴 압박,하루 주기 안에 강한 습격 활동을 유지하세요.,24시간 내 습격 승리,>=10,같은 경로의 이전 단계 완료,공허 약탈자 7/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
2,RAIDER,습격자,공허 약탈자,습격자 경로 - 공허 약탈자,10,8,RAIDER-08,왕의 몸값,대규모 습격 전리품을 누적하세요.,습격으로 훔친 자원,">=20,000 lifetime",같은 경로의 이전 단계 완료,공허 약탈자 8/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
2,RAIDER,습격자,공허 약탈자,습격자 경로 - 공허 약탈자,10,9,RAIDER-09,포식자의 고리,장기적인 습격 일관성을 확보하세요.,습격 승리,>=25 lifetime,같은 경로의 이전 단계 완료,공허 약탈자 9/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
2,RAIDER,습격자,공허 약탈자,습격자 경로 - 공허 약탈자,10,10,RAIDER-10,밤의 황제,다른 주요 세력 모두를 최소 한 번씩 성공적으로 습격하세요.,성공적으로 습격한 비소속 주요 세력,Other 5 major factions,같은 경로의 이전 단계 완료,공허 약탈자 10/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
3,FIGHTER,전투 지휘관,아이기스 선봉대,전투 경로 - 아이기스 선봉대,10,1,FIGHTER-01,선봉대 편성,전방 전투단을 건설하세요.,보유 전투 함선,>=25,게임 시작 시 이용 가능,아이기스 선봉대 1/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
3,FIGHTER,전투 지휘관,아이기스 선봉대,전투 경로 - 아이기스 선봉대,10,2,FIGHTER-02,실전 사격,첫 직접 공격 전투에서 승리하세요.,공격 전투 승리,>=1,같은 경로의 이전 단계 완료,아이기스 선봉대 2/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
3,FIGHTER,전투 지휘관,아이기스 선봉대,전투 경로 - 아이기스 선봉대,10,3,FIGHTER-03,전선 파괴자,공세 전투 5회에서 승리하세요.,공격 전투 승리,>=5,같은 경로의 이전 단계 완료,아이기스 선봉대 3/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
3,FIGHTER,전투 지휘관,아이기스 선봉대,전투 경로 - 아이기스 선봉대,10,4,FIGHTER-04,제병 협동,혼합 교리 함대를 배치하세요.,보유한 서로 다른 전투 유닛 병과,>=4,같은 경로의 이전 단계 완료,아이기스 선봉대 4/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
3,FIGHTER,전투 지휘관,아이기스 선봉대,전투 경로 - 아이기스 선봉대,10,5,FIGHTER-05,충격 선봉,"전력 10,000을 넘는 함대를 격파하세요.","방어 전력 10,000 초과 대상 승리",>=1,같은 경로의 이전 단계 완료,아이기스 선봉대 5/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
3,FIGHTER,전투 지휘관,아이기스 선봉대,전투 경로 - 아이기스 선봉대,10,6,FIGHTER-06,전쟁 리듬,하나의 작전 창 안에 반복 타격을 발진시키세요.,시간 창 내 공격 발진,>=5 within 60m,같은 경로의 이전 단계 완료,아이기스 선봉대 6/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
3,FIGHTER,전투 지휘관,아이기스 선봉대,전투 경로 - 아이기스 선봉대,10,7,FIGHTER-07,지휘 존재감,높은 군사 태세에 도달하세요.,전력,">=50,000",같은 경로의 이전 단계 완료,아이기스 선봉대 7/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
3,FIGHTER,전투 지휘관,아이기스 선봉대,전투 경로 - 아이기스 선봉대,10,8,FIGHTER-08,꺾이지 않는 전진,공격 전투 3연승을 확보하세요.,공격 전투 연승,>=3 streak,같은 경로의 이전 단계 완료,아이기스 선봉대 8/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
3,FIGHTER,전투 지휘관,아이기스 선봉대,전투 경로 - 아이기스 선봉대,10,9,FIGHTER-09,전쟁 깃발,지속적인 전투 성공을 누적하세요.,공격 전투 승리,>=20 lifetime,같은 경로의 이전 단계 완료,아이기스 선봉대 9/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
3,FIGHTER,전투 지휘관,아이기스 선봉대,전투 경로 - 아이기스 선봉대,10,10,FIGHTER-10,승천한 원수,한 주기 동안 최상위 군사 점수를 유지하세요.,군사 순위 유지 시간,Rank #1 for 24h,같은 경로의 이전 단계 완료,아이기스 선봉대 10/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
4,ECON,경제가,태양 장부,경제 경로 - 태양 장부,10,1,ECON-01,격자 균형,핵심 자원 생산 건물을 구축하세요.,보유 건물 레벨,Extractor>=1; Synthesiser>=1; Combinator>=1; SolarArray>=1,게임 시작 시 이용 가능,태양 장부 1/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
4,ECON,경제가,태양 장부,경제 경로 - 태양 장부,10,2,ECON-02,양의 처리량,초기 안정 수입에 도달하세요.,시간당 총 수동 자원,">=1,000",같은 경로의 이전 단계 완료,태양 장부 2/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
4,ECON,경제가,태양 장부,경제 경로 - 태양 장부,10,3,ECON-03,수용량 규율,저장 기반을 업그레이드하세요.,보유 건물 레벨,Silo>=10; SolarCell>=10,같은 경로의 이전 단계 완료,태양 장부 3/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
4,ECON,경제가,태양 장부,경제 경로 - 태양 장부,10,4,ECON-04,거시 엔진,중반 거시 경제로 확장하세요.,시간당 총 수동 자원,">=10,000",같은 경로의 이전 단계 완료,태양 장부 4/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
4,ECON,경제가,태양 장부,경제 경로 - 태양 장부,10,5,ECON-05,변동성 완충,저장고가 상한에 닿지 않도록 자원을 계속 움직이세요.,저장 상한 회피 연속 기록,No resource at max storage for 12h,같은 경로의 이전 단계 완료,태양 장부 5/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
